iter	Passed	Remaining
686	1318	600
687	1320	598
688	1321	596
689	1323	594
690	1324	592
691	1326	590
692	1327	588
693	1328	585
694	1330	583
695	1331	581
696	1332	579
697	1334	577
698	1335	575
699	1336	572
700	1338	570
701	1339	568
702	1340	566
703	1342	564
704	1343	562
705	1344	560
706	1346	557
707	1347	555
708	1348	553
709	1350	551
710	1351	549
711	1353	547
712	1354	545
713	1355	542
714	1357	540
715	1358	538
716	1359	536
717	1361	534
718	1362	532
719	1363	530
720	1365	528
721	1366	526
722	1368	524
723	1369	522
724	1371	520
725	1372	518
726	1374	515
727	1375	513
728	1376	511
729	1378	509
730	1379	507
731	1381	505
732	1382	503
733	1384	501
734	1385	499
735	1386	497
736	1388	495
737	1389	493
738	1391	491
739	1392	489
740	1393	487
741	1395	485
742	1396	483
743	1397	481
744	1399	478
745	1400	476
746	1402	474
747	1403	472
748	1405	470
749	1406	468
750	1407	466
751	1409	464
752	1410	462
753	1412	460
754	1413	458
755	1414	456
756	1416	454
757	1417	452
758	1418	450
759	1420	448
760	1421	446
761	1423	444
762	1424	442
763	1426	440
764	1427	438
765	1428	436
766	1430	434
767	1431	432
768	1433	430
769	1434	428
770	1436	426
771	1437	424
772	1438	422
773	1440	420
774	1441	418
775	1442	416
776	1444	414
777	1445	412
778	1446	410
779	1448	408
780	1449	406
781	1451	404
782	1452	402
783	1453	400
784	1455	398
785	1456	396
786	1458	394
787	1459	392
788	1460	390
789	1462	388
790	1463	386
791	1465	384
792	1466	382
793	1468	380
794	1469	378
795	1471	377
796	1472	375
797	1473	373
798	1475	371
799	1476	369
800	1477	367
801	1479	365
802	1480	363
803	1482	361
804	1483	359
805	1484	357
806	1486	355
807	1487	353
808	1488	351
809	1490	349
810	1491	347
811	1493	345
812	1494	343
813	1496	341
814	1497	339
815	1498	338
816	1500	336
817	1501	334
818	1502	332
819	1504	330
820	1505	328
821	1507	326
822	1508	324
823	1510	322
824	1511	320
825	1513	318
826	1515	316
827	1516	315
828	1517	313
829	1519	311
830	1520	309
831	1522	307
832	1523	305
833	1525	303
834	1526	301
835	1528	299
836	1529	297
837	1530	295
838	1532	294
839	1533	292
840	1535	290
841	1536	288
842	1538	286
843	1540	284
844	1541	282
845	1543	280
846	1544	279
847	1545	277
848	1547	275
849	1548	273
850	1550	271
851	1551	269
852	1553	267
853	1554	265
854	1556	263
855	1557	262
856	1559	260
857	1560	258
858	1562	256
859	1563	254
860	1565	252
861	1566	250
862	1568	248
863	1569	247
864	1571	245
865	1572	243
866	1573	241
867	1575	239
868	1576	237
869	1578	235
870	1579	233
871	1581	232
872	1582	230
873	1584	228
874	1585	226
875	1587	224
876	1588	222
877	1590	220
878	1591	219
879	1592	217
880	1594	215
881	1595	213
882	1597	211
883	1598	209
884	1600	207
885	1601	206
886	1603	204
887	1604	202
888	1606	200
889	1607	198
890	1609	196
891	1610	195
892	1612	193
893	1613	191
894	1615	189
895	1616	187
896	1618	185
897	1619	183
898	1620	182
899	1622	180
900	1623	178
901	1625	176
902	1626	174
903	1627	172
904	1629	171
905	1630	169
906	1632	167
907	1633	165
908	1635	163
909	1636	161
910	1638	160
911	1639	158
912	1640	156
913	1642	154
914	1643	152
915	1645	150
916	1646	149
917	1647	147
918	1649	145
919	1650	143
920	1652	141
921	1653	139
922	1655	138
923	1656	136
924	1658	134
925	1659	132
926	1660	130
927	1662	128
928	1663	127
929	1665	125
930	1666	123
931	1668	121
932	1669	119
933	1671	118
934	1672	116
935	1673	114
936	1675	112
937	1676	110
938	1678	109
939	1679	107
940	1680	105
941	1682	103
942	1683	101
943	1684	99
944	1686	98
945	1687	96
946	1689	94
947	1690	92
948	1691	90
949	1693	89
950	1694	87
951	1696	85
952	1697	83
953	1698	81
954	1700	80
955	1701	78
956	1703	76
957	1704	74
958	1705	72
959	1707	71
960	1708	69
961	1709	67
962	1711	65
963	1712	63
964	1714	62
965	1715	60
966	1716	58
967	1718	56
968	1719	55
969	1720	53
970	1722	51
971	1723	49
972	1724	47
973	1726	46
974	1727	44
975	1729	42
976	1730	40
977	1731	38
978	1733	37
979	1734	35
980	1736	33
981	1737	31
982	1738	30
983	1740	28
984	1741	26
985	1742	24
986	1744	22
987	1745	21
988	1746	19
989	1748	17
990	1749	15
991	1750	14
992	1752	12
993	1753	10
994	1754	8
995	1756	7
996	1757	5
997	1758	3
998	1760	1
999	1761	0
